county,precinct,office,district,candidate,party,election_day,absentee,mail,provisional,votes
Emery,6,COURTAPPEALS-CHRISTIANSEN ,,NO ,,35,0,7,0,42
Emery,6,COURTAPPEALS-ROTH ,,YES ,,106,3,19,0,128
Emery,6,COURTAPPEALS-ROTH ,,NO ,,37,0,7,0,44
Emery,6,COURTAPPEALS-DAVIS ,,YES ,,109,3,19,0,131
Emery,6,COURTAPPEALS-DAVIS ,,NO ,,33,0,7,0,40
Emery,6,COURTAPPEALS-VOROS ,,YES ,,101,3,18,0,122
Emery,6,COURTAPPEALS-VOROS ,,NO ,,40,0,7,0,47
Emery,6,JUVENILECOURT-MANLEY ,,YES ,,116,3,21,0,140
Emery,6,JUVENILECOURT-MANLEY ,,NO ,,27,0,5,0,32
Emery,6,JUVENILECOURT-JOHANSEN ,,YES ,,124,3,24,0,151
Emery,6,JUVENILECOURT-JOHANSEN ,,NO ,,25,0,4,0,29
Emery,6,JUVENILECOURT-ANDERSON ,,YES ,,113,3,21,0,137
Emery,6,JUVENILECOURT-ANDERSON ,,NO ,,29,0,5,0,34
Emery,6,STATE SCHOOL BOARD,14, MIKE MILES ,,30,2,6,0,38
Emery,6,STATE SCHOOL BOARD,14,MARK A. HUNTSMAN ,,100,1,21,0,122
Emery,6,CONST AMENDMENT A ,,FOR ,,68,2,11,0,81
Emery,6,CONST AMENDMENT A ,,AGAINST ,,76,1,15,0,92
Emery,6,CONST AMENDMENT B ,,FOR ,,89,2,13,0,104
Emery,6,CONST AMENDMENT B ,,AGAINST ,,54,1,13,0,68
Emery,6,CONST AMENDMENT C ,,FOR ,,59,2,11,0,72
Emery,6,CONST AMENDMENT C ,,AGAINST ,,84,1,16,0,101
Emery,7,Registered Voters ,,Registered Voters ,,0,0,0,0,577
Emery,7,STRAIGHT PARTY ,,LIBERTARIAN ,LIB ,0,0,0,0,0
Emery,7,STRAIGHT PARTY ,,INDEPENDENT AMERICAN ,IAP ,2,0,1,0,3
Emery,7,STRAIGHT PARTY ,,REPUBLICAN ,REP ,16,2,8,0,26
Emery,7,STRAIGHT PARTY ,,CONSTITUTION ,CON ,0,0,0,0,0
Emery,7,STRAIGHT PARTY ,,DEMOCRATIC ,DEM ,3,0,3,0,6
Emery,7,U.S. House,3,BEN J. MATES ,,3,0,0,0,3
Emery,7,U.S. House,3,BRIAN WONNACOTT ,DEM ,26,0,6,0,32
Emery,7,U.S. House,3,ZACK STRONG ,IAP ,7,0,2,0,9
Emery,7,U.S. House,3,JASON CHAFFETZ ,REP ,172,3,32,1,208
Emery,7,U.S. House,3,STEPHEN P. TRYON ,,2,0,0,0,2
Emery,7,U.S. House,3,Write-ins,,0,0,0,0,0
Emery,7,ATTORNEY GENERAL ,,W. ANDREW McCULLOUGH ,LIB ,5,0,1,0,6
Emery,7,ATTORNEY GENERAL ,,GREGORY G. HANSEN ,CON ,9,0,0,0,9
Emery,7,ATTORNEY GENERAL ,,CHARLES A. STORMONT ,DEM ,22,0,5,0,27
Emery,7,ATTORNEY GENERAL ,,SEAN D. REYES ,REP ,162,3,31,1,197
Emery,7,ATTORNEY GENERAL ,,LESLIE D. CURTIS ,IAP ,11,0,2,0,13
Emery,7,State Representative,70,KAY L. MCIFF ,REP ,152,3,33,0,188
Emery,7,State Representative,70,KALEN JONES ,DEM ,41,0,7,0,48
Emery,7,State Representative,70,R. GLENN STONEMAN ,CON ,10,0,0,0,10
Emery,7,COUNTY COMM A ,,KEITH BRADY ,REP ,108,3,18,1,130
Emery,7,COUNTY COMM A ,,Write-ins,,97,0,22,0,119
Emery,7,COUNTY COMM B ,,S. PAUL COWLEY ,REP ,193,3,32,1,229
Emery,7,COUNTY ASSESSOR ,,KRIS BELL ,REP ,181,3,33,1,218
Emery,7,COUNTY ATTORNEY ,,MIKE OLSEN ,REP ,188,3,32,1,224
Emery,7,COUNTY CLERK/AUDITOR ,,BRENDA TUTTLE ,REP ,189,3,34,1,227
Emery,7,COUNTY RECORDER ,,CONNIE JENSEN ,REP ,199,3,38,1,241
Emery,7,COUNTY SHERIFF ,,GREG FUNK ,REP ,196,3,36,1,236
Emery,7,COUNTY TREASURER ,,STEVEN J. BARTON ,REP ,195,3,36,1,235
Emery,7,UTAHSUPREMECRT-DURHAM ,,YES ,,169,2,31,0,202
Emery,7,UTAHSUPREMECRT-DURHAM ,,NO ,,28,0,4,0,32
Emery,7,UTAHSUPREMECRT-DURRANT ,,YES ,,173,2,32,0,207
Emery,7,UTAHSUPREMECRT-DURRANT ,,NO ,,24,0,3,0,27
Emery,7,UTAHSUPREMECRT-LEE ,,YES ,,166,2,30,0,198
Emery,7,UTAHSUPREMECRT-LEE ,,NO ,,29,0,4,0,33
Emery,7,COURTAPPEALS-ORME ,,YES ,,163,2,28,0,193
Emery,7,COURTAPPEALS-ORME ,,NO ,,33,0,7,0,40
Emery,7,COURTAPPEALS-CHRISTIANSEN ,,YES ,,167,2,29,0,198
Emery,7,COURTAPPEALS-CHRISTIANSEN ,,NO ,,28,0,6,0,34
Emery,7,COURTAPPEALS-ROTH ,,YES ,,164,2,28,0,194
Emery,7,COURTAPPEALS-ROTH ,,NO ,,31,0,6,0,37
Emery,7,COURTAPPEALS-DAVIS ,,YES ,,167,2,28,0,197
Emery,7,COURTAPPEALS-DAVIS ,,NO ,,29,0,6,0,35
Emery,7,COURTAPPEALS-VOROS ,,YES ,,162,2,28,0,192
Emery,7,COURTAPPEALS-VOROS ,,NO ,,30,0,5,0,35
Emery,7,JUVENILECOURT-MANLEY ,,YES ,,171,3,31,1,206
Emery,7,JUVENILECOURT-MANLEY ,,NO ,,22,0,4,0,26
Emery,7,JUVENILECOURT-JOHANSEN ,,YES ,,179,2,36,1,218
Emery,7,JUVENILECOURT-JOHANSEN ,,NO ,,27,1,1,0,29
Emery,7,JUVENILECOURT-ANDERSON ,,YES ,,168,3,31,0,202
Emery,7,JUVENILECOURT-ANDERSON ,,NO ,,24,0,2,0,26
Emery,7,STATE SCHOOL BOARD,14, MIKE MILES ,,43,1,9,0,53
Emery,7,STATE SCHOOL BOARD,14,MARK A. HUNTSMAN ,,138,1,25,0,164
Emery,7,CONST AMENDMENT A ,,FOR ,,80,0,15,0,95
Emery,7,CONST AMENDMENT A ,,AGAINST ,,112,3,20,1,136
Emery,7,CONST AMENDMENT B ,,FOR ,,113,0,20,0,133
Emery,7,CONST AMENDMENT B ,,AGAINST ,,84,3,15,1,103
Emery,7,CONST AMENDMENT C ,,FOR ,,94,0,15,0,109
Emery,7,CONST AMENDMENT C ,,AGAINST ,,104,3,24,1,132
Emery,8,Registered Voters ,,Registered Voters ,,0,0,0,0,892
Emery,8,STRAIGHT PARTY ,,LIBERTARIAN ,LIB ,1,0,0,0,1
Emery,8,STRAIGHT PARTY ,,INDEPENDENT AMERICAN ,IAP ,4,0,0,0,4
Emery,8,STRAIGHT PARTY ,,REPUBLICAN ,REP ,35,4,1,1,41
Emery,8,STRAIGHT PARTY ,,CONSTITUTION ,CON ,1,0,0,0,1
Emery,8,STRAIGHT PARTY ,,DEMOCRATIC ,DEM ,17,0,0,0,17
Emery,8,U.S. House,3,BEN J. MATES ,,4,0,1,0,5
Emery,8,U.S. House,3,BRIAN WONNACOTT ,DEM ,43,0,1,1,45
Emery,8,U.S. House,3,ZACK STRONG ,IAP ,11,0,0,0,11
Emery,8,U.S. House,3,JASON CHAFFETZ ,REP ,190,7,12,4,213
Emery,8,U.S. House,3,STEPHEN P. TRYON ,,5,0,4,0,9
Emery,8,U.S. House,3,Write-ins,,1,0,0,0,1
Emery,8,ATTORNEY GENERAL ,,W. ANDREW McCULLOUGH ,LIB ,10,0,0,0,10
Emery,8,ATTORNEY GENERAL ,,GREGORY G. HANSEN ,CON ,9,0,0,0,9
Emery,8,ATTORNEY GENERAL ,,CHARLES A. STORMONT ,DEM ,46,2,3,2,53
Emery,8,ATTORNEY GENERAL ,,SEAN D. REYES ,REP ,175,5,14,3,197
Emery,8,ATTORNEY GENERAL ,,LESLIE D. CURTIS ,IAP ,13,0,2,0,15
Emery,8,State Representative,70,KAY L. MCIFF ,REP ,170,6,11,5,192
Emery,8,State Representative,70,KALEN JONES ,DEM ,56,1,4,0,61
Emery,8,State Representative,70,R. GLENN STONEMAN ,CON ,21,0,3,0,24
Emery,8,COUNTY COMM A ,,KEITH BRADY ,REP ,144,5,11,2,162
Emery,8,COUNTY COMM A ,,Write-ins,,96,2,5,2,105
Emery,8,COUNTY COMM B ,,S. PAUL COWLEY ,REP ,217,6,16,6,245
Emery,8,COUNTY ASSESSOR ,,KRIS BELL ,REP ,224,7,18,5,254
Emery,8,COUNTY ATTORNEY ,,MIKE OLSEN ,REP ,218,6,15,5,244
Emery,8,COUNTY CLERK/AUDITOR ,,BRENDA TUTTLE ,REP ,220,7,16,5,248
Emery,8,COUNTY RECORDER ,,CONNIE JENSEN ,REP ,223,6,17,5,251
Emery,8,COUNTY SHERIFF ,,GREG FUNK ,REP ,224,7,18,5,254
Emery,8,COUNTY TREASURER ,,STEVEN J. BARTON ,REP ,231,7,17,5,260
Emery,8,UTAHSUPREMECRT-DURHAM ,,YES ,,189,4,14,5,212
Emery,8,UTAHSUPREMECRT-DURHAM ,,NO ,,55,2,4,1,62
Emery,8,UTAHSUPREMECRT-DURRANT ,,YES ,,191,4,16,5,216
Emery,8,UTAHSUPREMECRT-DURRANT ,,NO ,,48,2,2,0,52
Emery,8,UTAHSUPREMECRT-LEE ,,YES ,,186,4,17,4,211
Emery,8,UTAHSUPREMECRT-LEE ,,NO ,,53,2,1,0,56
Emery,8,COURTAPPEALS-ORME ,,YES ,,178,4,15,3,200
Emery,8,COURTAPPEALS-ORME ,,NO ,,58,2,2,1,63
Emery,8,COURTAPPEALS-CHRISTIANSEN ,,YES ,,180,4,15,4,203
Emery,8,COURTAPPEALS-CHRISTIANSEN ,,NO ,,57,2,3,0,62
Emery,8,COURTAPPEALS-ROTH ,,YES ,,175,4,14,4,197
Emery,8,COURTAPPEALS-ROTH ,,NO ,,59,2,3,0,64
Emery,8,COURTAPPEALS-DAVIS ,,YES ,,183,3,14,4,204
Emery,8,COURTAPPEALS-DAVIS ,,NO ,,53,2,3,0,58
Emery,8,COURTAPPEALS-VOROS ,,YES ,,170,4,14,3,191
Emery,8,COURTAPPEALS-VOROS ,,NO ,,60,2,3,1,66
Emery,8,JUVENILECOURT-MANLEY ,,YES ,,188,4,15,4,211
Emery,8,JUVENILECOURT-MANLEY ,,NO ,,50,2,3,0,55
Emery,8,JUVENILECOURT-JOHANSEN ,,YES ,,182,7,15,4,208
Emery,8,JUVENILECOURT-JOHANSEN ,,NO ,,66,0,3,2,71
Emery,8,JUVENILECOURT-ANDERSON ,,YES ,,193,4,15,5,217
Emery,8,JUVENILECOURT-ANDERSON ,,NO ,,48,2,3,0,53
Emery,8,STATE SCHOOL BOARD,14, MIKE MILES ,,76,4,6,0,86
Emery,8,STATE SCHOOL BOARD,14,MARK A. HUNTSMAN ,,155,2,11,5,173
Emery,8,SCHOOL BOARD,4,MARIE GUYMON JOHNSON ,,0,0,9,0,9
Emery,8,CONST AMENDMENT A ,,FOR ,,106,4,8,1,119
Emery,8,CONST AMENDMENT A ,,AGAINST ,,137,3,11,5,156
Emery,8,CONST AMENDMENT B ,,FOR ,,143,4,11,2,160
Emery,8,CONST AMENDMENT B ,,AGAINST ,,101,3,8,4,116
Emery,8,CONST AMENDMENT C ,,FOR ,,96,4,11,1,112
Emery,8,CONST AMENDMENT C ,,AGAINST ,,154,3,8,5,170
Emery,9,Registered Voters ,,Registered Voters ,,0,0,0,0,752
Emery,9,STRAIGHT PARTY ,,LIBERTARIAN ,LIB ,1,0,0,0,1
Emery,9,STRAIGHT PARTY ,,INDEPENDENT AMERICAN ,IAP ,2,0,0,0,2
Emery,9,STRAIGHT PARTY ,,REPUBLICAN ,REP ,28,0,3,0,31
Emery,9,STRAIGHT PARTY ,,CONSTITUTION ,CON ,2,0,0,0,2
Emery,9,STRAIGHT PARTY ,,DEMOCRATIC ,DEM ,10,0,2,0,12
Emery,9,U.S. House,3,BEN J. MATES ,,2,0,1,0,3
Emery,9,U.S. House,3,BRIAN WONNACOTT ,DEM ,39,1,6,0,46
Emery,9,U.S. House,3,ZACK STRONG ,IAP ,4,0,0,0,4
Emery,9,U.S. House,3,JASON CHAFFETZ ,REP ,162,0,7,0,169
Emery,9,U.S. House,3,STEPHEN P. TRYON ,,11,0,0,0,11
Emery,9,U.S. House,3,Write-ins,,0,0,0,0,0
Emery,9,ATTORNEY GENERAL ,,W. ANDREW McCULLOUGH ,LIB ,7,0,0,0,7
Emery,9,ATTORNEY GENERAL ,,GREGORY G. HANSEN ,CON ,10,0,0,0,10
Emery,9,ATTORNEY GENERAL ,,CHARLES A. STORMONT ,DEM ,39,0,6,0,45
Emery,9,ATTORNEY GENERAL ,,SEAN D. REYES ,REP ,150,1,8,0,159
Emery,9,ATTORNEY GENERAL ,,LESLIE D. CURTIS ,IAP ,9,0,1,0,10
Emery,9,State Representative,70,KAY L. MCIFF ,REP ,153,1,7,0,161
Emery,9,State Representative,70,KALEN JONES ,DEM ,46,0,7,0,53
Emery,9,State Representative,70,R. GLENN STONEMAN ,CON ,15,0,1,0,16
Emery,9,COUNTY COMM A ,,KEITH BRADY ,REP ,116,1,11,0,128
Emery,9,COUNTY COMM A ,,Write-ins,,94,0,4,0,98
Emery,9,COUNTY COMM B ,,S. PAUL COWLEY ,REP ,193,1,13,0,207
Emery,9,COUNTY ASSESSOR ,,KRIS BELL ,REP ,182,1,10,0,193
Emery,9,COUNTY ATTORNEY ,,MIKE OLSEN ,REP ,181,1,10,0,192
Emery,9,COUNTY CLERK/AUDITOR ,,BRENDA TUTTLE ,REP ,192,1,11,0,204
Emery,9,COUNTY RECORDER ,,CONNIE JENSEN ,REP ,186,1,10,0,197
Emery,9,COUNTY SHERIFF ,,GREG FUNK ,REP ,191,1,11,0,203
Emery,9,COUNTY TREASURER ,,STEVEN J. BARTON ,REP ,198,1,11,0,210
Emery,9,UTAHSUPREMECRT-DURHAM ,,YES ,,156,1,7,0,164
Emery,9,UTAHSUPREMECRT-DURHAM ,,NO ,,55,0,8,0,63
Emery,9,UTAHSUPREMECRT-DURRANT ,,YES ,,151,1,6,0,158
Emery,9,UTAHSUPREMECRT-DURRANT ,,NO ,,61,0,8,0,69
Emery,9,UTAHSUPREMECRT-LEE ,,YES ,,151,1,6,0,158
Emery,9,UTAHSUPREMECRT-LEE ,,NO ,,59,0,8,0,67
Emery,9,COURTAPPEALS-ORME ,,YES ,,148,1,5,0,154
Emery,9,COURTAPPEALS-ORME ,,NO ,,59,0,9,0,68
Emery,9,COURTAPPEALS-CHRISTIANSEN ,,YES ,,148,1,5,0,154
Emery,9,COURTAPPEALS-CHRISTIANSEN ,,NO ,,60,0,8,0,68
Emery,9,COURTAPPEALS-ROTH ,,YES ,,146,1,7,0,154
Emery,9,COURTAPPEALS-ROTH ,,NO ,,61,0,7,0,68
Emery,9,COURTAPPEALS-DAVIS ,,YES ,,149,1,7,0,157
Emery,9,COURTAPPEALS-DAVIS ,,NO ,,56,0,7,0,63
Emery,9,COURTAPPEALS-VOROS ,,YES ,,145,1,6,0,152
Emery,9,COURTAPPEALS-VOROS ,,NO ,,64,0,8,0,72
Emery,9,JUVENILECOURT-MANLEY ,,YES ,,163,1,9,0,173
Emery,9,JUVENILECOURT-MANLEY ,,NO ,,46,0,5,0,51
Emery,9,JUVENILECOURT-JOHANSEN ,,YES ,,166,1,13,0,180
Emery,9,JUVENILECOURT-JOHANSEN ,,NO ,,55,0,3,0,58
Emery,9,JUVENILECOURT-ANDERSON ,,YES ,,163,1,12,0,176
Emery,9,JUVENILECOURT-ANDERSON ,,NO ,,46,0,2,0,48
Emery,9,STATE SCHOOL BOARD,14, MIKE MILES ,,59,0,3,0,62
Emery,9,STATE SCHOOL BOARD,14,MARK A. HUNTSMAN ,,146,1,6,0,153
Emery,9,SCHOOL BOARD,4,MARIE GUYMON JOHNSON ,,193,1,12,0,206
Emery,9,CONST AMENDMENT A ,,FOR ,,86,0,6,0,92
Emery,9,CONST AMENDMENT A ,,AGAINST ,,130,1,8,0,139
Emery,9,CONST AMENDMENT B ,,FOR ,,104,0,3,0,107
Emery,9,CONST AMENDMENT B ,,AGAINST ,,110,1,12,0,123
Emery,9,CONST AMENDMENT C ,,FOR ,,76,0,4,0,80
Emery,9,CONST AMENDMENT C ,,AGAINST ,,140,1,11,0,152
Emery,10,Registered Voters ,,Registered Voters ,,0,0,0,0,575
Emery,10,STRAIGHT PARTY ,,LIBERTARIAN ,LIB ,0,0,0,0,0
Emery,10,STRAIGHT PARTY ,,INDEPENDENT AMERICAN ,IAP ,1,0,1,0,2
Emery,10,STRAIGHT PARTY ,,REPUBLICAN ,REP ,29,0,0,1,30
Emery,10,STRAIGHT PARTY ,,CONSTITUTION ,CON ,0,0,0,0,0
Emery,10,STRAIGHT PARTY ,,DEMOCRATIC ,DEM ,4,0,0,0,4
Emery,10,U.S. House,3,BEN J. MATES ,,3,0,0,0,3
Emery,10,U.S. House,3,BRIAN WONNACOTT ,DEM ,21,1,2,0,24
Emery,10,U.S. House,3,ZACK STRONG ,IAP ,7,0,0,0,7
Emery,10,U.S. House,3,JASON CHAFFETZ ,REP ,165,0,6,1,172
Emery,10,U.S. House,3,STEPHEN P. TRYON ,,6,0,0,0,6
Emery,10,U.S. House,3,Write-ins,,0,0,0,0,0
Emery,10,ATTORNEY GENERAL ,,W. ANDREW McCULLOUGH ,LIB ,4,0,0,0,4
Emery,10,ATTORNEY GENERAL ,,GREGORY G. HANSEN ,CON ,6,0,1,0,7
Emery,10,ATTORNEY GENERAL ,,CHARLES A. STORMONT ,DEM ,23,1,2,0,26
Emery,10,ATTORNEY GENERAL ,,SEAN D. REYES ,REP ,161,0,5,1,167
Emery,10,ATTORNEY GENERAL ,,LESLIE D. CURTIS ,IAP ,6,0,0,0,6
Emery,10,State Representative,70,KAY L. MCIFF ,REP ,164,0,5,1,170
Emery,10,State Representative,70,KALEN JONES ,DEM ,29,1,1,0,31
Emery,10,State Representative,70,R. GLENN STONEMAN ,CON ,5,0,2,0,7
Emery,10,COUNTY COMM A ,,KEITH BRADY ,REP ,87,1,1,0,89
Emery,10,COUNTY COMM A ,,Write-ins,,111,0,7,1,119
Emery,10,COUNTY COMM B ,,S. PAUL COWLEY ,REP ,179,1,8,1,189
Emery,10,COUNTY ASSESSOR ,,KRIS BELL ,REP ,174,0,7,1,182
Emery,10,COUNTY ATTORNEY ,,MIKE OLSEN ,REP ,167,1,5,1,174
Emery,10,COUNTY CLERK/AUDITOR ,,BRENDA TUTTLE ,REP ,174,0,7,1,182
Emery,10,COUNTY RECORDER ,,CONNIE JENSEN ,REP ,175,0,8,1,184
Emery,10,COUNTY SHERIFF ,,GREG FUNK ,REP ,187,0,7,1,195
Emery,10,COUNTY TREASURER ,,STEVEN J. BARTON ,REP ,182,1,8,1,192
Emery,10,UTAHSUPREMECRT-DURHAM ,,YES ,,150,1,5,0,156
Emery,10,UTAHSUPREMECRT-DURHAM ,,NO ,,36,0,3,0,39
Emery,10,UTAHSUPREMECRT-DURRANT ,,YES ,,152,1,6,0,159
Emery,10,UTAHSUPREMECRT-DURRANT ,,NO ,,31,0,2,0,33
Emery,10,UTAHSUPREMECRT-LEE ,,YES ,,150,1,6,0,157
Emery,10,UTAHSUPREMECRT-LEE ,,NO ,,34,0,2,0,36
Emery,10,COURTAPPEALS-ORME ,,YES ,,147,1,6,0,154
Emery,10,COURTAPPEALS-ORME ,,NO ,,35,0,2,0,37
Emery,10,COURTAPPEALS-CHRISTIANSEN ,,YES ,,151,1,7,0,159
Emery,10,COURTAPPEALS-CHRISTIANSEN ,,NO ,,31,0,1,0,32
Emery,10,COURTAPPEALS-ROTH ,,YES ,,147,1,7,0,155
Emery,10,COURTAPPEALS-ROTH ,,NO ,,35,0,1,0,36
Emery,10,COURTAPPEALS-DAVIS ,,YES ,,150,1,7,0,158
Emery,10,COURTAPPEALS-DAVIS ,,NO ,,32,0,1,0,33
Emery,10,COURTAPPEALS-VOROS ,,YES ,,143,1,6,0,150
Emery,10,COURTAPPEALS-VOROS ,,NO ,,34,0,2,0,36
Emery,10,JUVENILECOURT-MANLEY ,,YES ,,154,1,8,0,163
Emery,10,JUVENILECOURT-MANLEY ,,NO ,,27,0,0,0,27
Emery,10,JUVENILECOURT-JOHANSEN ,,YES ,,159,1,8,1,169
Emery,10,JUVENILECOURT-JOHANSEN ,,NO ,,34,0,0,0,34
Emery,10,JUVENILECOURT-ANDERSON ,,YES ,,158,1,7,1,167
Emery,10,JUVENILECOURT-ANDERSON ,,NO ,,27,0,1,0,28
Emery,10,STATE SCHOOL BOARD,14, MIKE MILES ,,39,1,5,0,45
Emery,10,STATE SCHOOL BOARD,14,MARK A. HUNTSMAN ,,142,0,3,1,146
Emery,10,SCHOOL BOARD,5,ROYD F. HATT ,,174,1,8,1,184
Emery,10,CONST AMENDMENT A ,,FOR ,,63,0,3,0,66
Emery,10,CONST AMENDMENT A ,,AGAINST ,,128,1,5,1,135
Emery,10,CONST AMENDMENT B ,,FOR ,,91,0,4,0,95
Emery,10,CONST AMENDMENT B ,,AGAINST ,,105,1,4,1,111
Emery,10,CONST AMENDMENT C ,,FOR ,,71,0,2,0,73
Emery,10,CONST AMENDMENT C ,,AGAINST ,,124,1,6,1,132
Emery,11,Registered Voters ,,Registered Voters ,,0,0,0,0,454
Emery,11,STRAIGHT PARTY ,,LIBERTARIAN ,LIB ,1,0,0,0,1
Emery,11,STRAIGHT PARTY ,,INDEPENDENT AMERICAN ,IAP ,3,0,0,0,3
Emery,11,STRAIGHT PARTY ,,REPUBLICAN ,REP ,32,0,0,0,32
Emery,11,STRAIGHT PARTY ,,CONSTITUTION ,CON ,0,0,0,0,0
Emery,11,STRAIGHT PARTY ,,DEMOCRATIC ,DEM ,4,0,0,0,4
Emery,11,U.S. House,3,BEN J. MATES ,,2,0,0,1,3
Emery,11,U.S. House,3,BRIAN WONNACOTT ,DEM ,22,0,0,0,22
Emery,11,U.S. House,3,ZACK STRONG ,IAP ,5,0,0,0,5
Emery,11,U.S. House,3,JASON CHAFFETZ ,REP ,128,2,6,0,136
Emery,11,U.S. House,3,STEPHEN P. TRYON ,,1,0,0,1,2
Emery,11,U.S. House,3,Write-ins,,0,0,0,0,0
Emery,11,ATTORNEY GENERAL ,,W. ANDREW McCULLOUGH ,LIB ,4,0,0,1,5
Emery,11,ATTORNEY GENERAL ,,GREGORY G. HANSEN ,CON ,2,0,0,0,2
Emery,11,ATTORNEY GENERAL ,,CHARLES A. STORMONT ,DEM ,25,0,0,1,26
Emery,11,ATTORNEY GENERAL ,,SEAN D. REYES ,REP ,117,2,7,0,126
Emery,11,ATTORNEY GENERAL ,,LESLIE D. CURTIS ,IAP ,10,0,0,0,10
Emery,11,State Representative,70,KAY L. MCIFF ,REP ,113,2,7,2,124
Emery,11,State Representative,70,KALEN JONES ,DEM ,29,0,0,0,29
Emery,11,State Representative,70,R. GLENN STONEMAN ,CON ,7,0,0,0,7
Emery,11,COUNTY COMM A ,,KEITH BRADY ,REP ,98,2,4,2,106
Emery,11,COUNTY COMM A ,,Write-ins,,54,0,2,0,56
Emery,11,COUNTY COMM B ,,S. PAUL COWLEY ,REP ,142,2,5,2,151
Emery,11,COUNTY ASSESSOR ,,KRIS BELL ,REP ,142,2,7,2,153
Emery,11,COUNTY ATTORNEY ,,MIKE OLSEN ,REP ,140,2,5,2,149
Emery,11,COUNTY CLERK/AUDITOR ,,BRENDA TUTTLE ,REP ,143,2,7,2,154
Emery,11,COUNTY RECORDER ,,CONNIE JENSEN ,REP ,147,2,7,2,158
Emery,11,COUNTY SHERIFF ,,GREG FUNK ,REP ,154,2,7,2,165
Emery,11,COUNTY TREASURER ,,STEVEN J. BARTON ,REP ,155,2,6,1,164
Emery,11,UTAHSUPREMECRT-DURHAM ,,YES ,,110,1,6,2,119
Emery,11,UTAHSUPREMECRT-DURHAM ,,NO ,,30,0,1,0,31
Emery,11,UTAHSUPREMECRT-DURRANT ,,YES ,,107,1,5,1,114
Emery,11,UTAHSUPREMECRT-DURRANT ,,NO ,,32,0,2,1,35
Emery,11,UTAHSUPREMECRT-LEE ,,YES ,,109,1,6,2,118
Emery,11,UTAHSUPREMECRT-LEE ,,NO ,,30,0,1,0,31
Emery,11,COURTAPPEALS-ORME ,,YES ,,107,1,7,2,117
Emery,11,COURTAPPEALS-ORME ,,NO ,,31,0,0,0,31
Emery,11,COURTAPPEALS-CHRISTIANSEN ,,YES ,,111,1,6,2,120
Emery,11,COURTAPPEALS-CHRISTIANSEN ,,NO ,,29,0,1,0,30
Emery,11,COURTAPPEALS-ROTH ,,YES ,,108,1,6,1,116
Emery,11,COURTAPPEALS-ROTH ,,NO ,,32,0,1,1,34
Emery,11,COURTAPPEALS-DAVIS ,,YES ,,111,1,5,2,119
Emery,11,COURTAPPEALS-DAVIS ,,NO ,,29,0,2,0,31
Emery,11,COURTAPPEALS-VOROS ,,YES ,,105,1,5,2,113
Emery,11,COURTAPPEALS-VOROS ,,NO ,,32,0,2,0,34
Emery,11,JUVENILECOURT-MANLEY ,,YES ,,106,2,6,1,115
Emery,11,JUVENILECOURT-MANLEY ,,NO ,,34,0,1,1,36
Emery,11,JUVENILECOURT-JOHANSEN ,,YES ,,124,2,6,2,134
Emery,11,JUVENILECOURT-JOHANSEN ,,NO ,,26,0,1,0,27
Emery,11,JUVENILECOURT-ANDERSON ,,YES ,,113,1,6,2,122
Emery,11,JUVENILECOURT-ANDERSON ,,NO ,,26,0,1,0,27
Emery,11,STATE SCHOOL BOARD,14, MIKE MILES ,,41,1,2,2,46
Emery,11,STATE SCHOOL BOARD,14,MARK A. HUNTSMAN ,,93,0,5,0,98
Emery,11,SCHOOL BOARD,4,MARIE GUYMON JOHNSON ,,134,1,7,2,144
Emery,11,CONST AMENDMENT A ,,FOR ,,55,1,4,1,61
Emery,11,CONST AMENDMENT A ,,AGAINST ,,93,1,3,0,97
Emery,11,CONST AMENDMENT B ,,FOR ,,87,1,4,2,94
Emery,11,CONST AMENDMENT B ,,AGAINST ,,62,1,3,0,66
Emery,11,CONST AMENDMENT C ,,FOR ,,53,1,5,2,61
Emery,11,CONST AMENDMENT C ,,AGAINST ,,95,1,2,0,98
Emery,12,Registered Voters ,,Registered Voters ,,0,0,0,0,630
Emery,12,STRAIGHT PARTY ,,LIBERTARIAN ,LIB ,0,0,0,0,0
Emery,12,STRAIGHT PARTY ,,INDEPENDENT AMERICAN ,IAP ,5,0,0,0,5
Emery,12,STRAIGHT PARTY ,,REPUBLICAN ,REP ,64,3,0,0,67
Emery,12,STRAIGHT PARTY ,,CONSTITUTION ,CON ,1,0,0,0,1
Emery,12,STRAIGHT PARTY ,,DEMOCRATIC ,DEM ,8,0,0,0,8
Emery,12,U.S. House,3,BEN J. MATES ,,3,0,0,0,3
Emery,12,U.S. House,3,BRIAN WONNACOTT ,DEM ,29,0,0,2,31
Emery,12,U.S. House,3,ZACK STRONG ,IAP ,12,0,0,0,12
Emery,12,U.S. House,3,JASON CHAFFETZ ,REP ,200,7,1,0,208
Emery,12,U.S. House,3,STEPHEN P. TRYON ,,4,0,0,0,4
Emery,12,U.S. House,3,Write-ins,,1,0,0,0,1
Emery,12,ATTORNEY GENERAL ,,W. ANDREW McCULLOUGH ,LIB ,5,0,0,0,5
Emery,12,ATTORNEY GENERAL ,,GREGORY G. HANSEN ,CON ,11,0,0,0,11
Emery,12,ATTORNEY GENERAL ,,CHARLES A. STORMONT ,DEM ,38,0,0,1,39
Emery,12,ATTORNEY GENERAL ,,SEAN D. REYES ,REP ,183,6,1,0,190
